"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Classification and Forecasting of Water Stress in Tomato Plants Using Bioristor Data","M. Bettelli; F. Vurro; R. Pecori; M. Janni; N. Coppedè; A. Zappettini; D. Tessera","Institute of Materials for Electronics and Magnetism (IMEM), National Research Council, Parma, Italy; Institute of Materials for Electronics and Magnetism (IMEM), National Research Council, Parma, Italy; Institute of Materials for Electronics and Magnetism (IMEM), National Research Council, Parma, Italy; Institute of Materials for Electronics and Magnetism (IMEM), National Research Council, Parma, Italy; Institute of Materials for Electronics and Magnetism (IMEM), National Research Council, Parma, Italy; Institute of Materials for Electronics and Magnetism (IMEM), National Research Council, Parma, Italy; Faculty of Mathematical, Physical and Natural Sciences, Catholic University of the Sacred Heart, Brescia, Italy",IEEE Access,"13 Apr 2023","2023","11","","34795","34807","Water stress and in particular drought are some of the most significant factors affecting plant growth, food production, and thus food security. Furthermore, the possibility to predict and shape irrigation on real plant demands is priceless. The objective of this study is to characterize, classify, and forecast water stress in tomato plants by means of in vivo real time data obtained through a novel sensor, named bioristor, and of different artificial intelligence models. First of all, we have applied classification models, namely Decision Trees and Random Forest, to try to distinguish four different stress statuses of tomato plants. Then, we have predicted, through the help of recurrent neural networks, the future status of a plant when considering both a binary (water stressed and not water stressed) and a four-status scenario. The obtained results are very good in terms of accuracy, precision, recall, F-measure, and of the resulting confusion matrices, and they suggest that the considered novel data and features coming from the bioristor, together with the used machine and deep learning models, can be successfully applied to real-world on-the-field smart irrigation scenarios in the future.","2169-3536","","10.1109/ACCESS.2023.3265597","E-Crops-Technologies for Digital and Sustainable Agriculture Project; Italian Ministry of University and Research (MUR) through the Programma Operativo Nazionale (PON) Agrifood Program(grant numbers:ARS01_01136); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10097476","AI modeling and forecasting;bioristor;precision agriculture;recurrent neural network;tomato plants;tree-based classifiers;smart irrigation;water stress","Recurrent neural networks;Droughts;Irrigation;Crops;Bioinformatics;Artificial intelligence;Biological system modeling;Plants;Smart agriculture","","18","","40","CCBYNCND","7 Apr 2023","2023","","IEEE","IEEE Journals"
"Deep Learning Models for Predictive Crop Water Stress Management using Real-Time Environmental Data","T. Illakiya; R. Navyashree; A. Aleeswari; G. BhupalRaj; P. Balaji; B. Muni","Department of Computational Intelligence, SRM Institute of Science and Technology SRM University, Kattankulathur; Department of Crop physiology School of agriculture, SR university; Management Studies PSNA College of Engineering & Technology, Dindigul, Tamilnadu; School of Agriculture SR University, Warangal, India; Department of English Malla Reddy Engineering College (Autonomous) Maisammaguda, Medchal-Malkajgiri District, Telangana; Department of CSE (AI& ML) Mallareddy College of engineering, Maisammaguda Hyderabad Madha Nagar, Kundrathur, Chennai",2025 Third International Conference on Emerging Applications of Material Science and Technology (ICEAMST),"21 Jan 2026","2025","","","1647","1654","Sustainable agriculture needs efficient management of water in areas where climatic variations and scarcity of resources are on the rise. This paper introduces a novel hybrid Convolutional Neural NetworkLong Short-Term Memory (CNN -LSTM) model that can forecast crop water stress based on real-time and past environmental conditions. The CNN constituent derives spatial relationships of various parameters including soil moisture, temperature and precipitation whereas the LSTM constituent derives temporal relationships that affect crop stress dynamics. The suggested model based on the Kaggle dataset (Real-Time Environmental Data to Crop Water Stress Management) demonstrated 90 per cent prediction accuracy and AUC value of 0.9 as compared to traditional machine-learning (7580 per cent accuracy). The results show the strength, flexibility, and capability of the model to facilitate irrigation scheduling using data. This practice is helping in enhancement of water-use-efficiency and sustainable crop management practices. The suggested system provides a smart-scaling decision-support system to optimize agricultural water resources.","","979-8-3315-8707-9","10.1109/ICEAMST67459.2025.11335817","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11335817","Crop Water Stress;CNN-LSTM;Predictive Modeling;Real-Time Environmental Data;Irrigation Management;Sustainable Agriculture;Deep Learning","Deep learning;Irrigation;Accuracy;Crops;Predictive models;Data models;Real-time systems;Convolutional neural networks;Water resources;Stress","","","","20","IEEE","21 Jan 2026","3-5 Nov. 2025","3-5 Nov. 2025","IEEE","IEEE Conferences"
"Precision Agriculture: Improving Water Stress Forecasting in Tomato Plants Using Bioristor Data and Advanced ML Techniques","A. N; R. M","Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Chennai, India; Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Chennai, India",2024 First International Conference for Women in Computing (InCoWoCo),"6 Feb 2025","2024","","","1","6","The water stress in crops, especially tomato plants, is highly challenging to yields and qualities. This study involves improving the forecasting of water stress by using Bioristor sensor information combined with advanced machine learning models. Bioristor sensors capture ion concentration changes in plant saps; hence very crucial real-time data. We developed models such as RNN, LSTM, Bi-GRU, and ARIMA, for predictions and time series forecasting. We applied the models on classification with Decision Trees as well as Random Forest. The performance of the model was measured using applications in accuracy, precision, recall, and confusion matrix analysis metrics, when predicting 1 and 24 hours in advance, using classifications of 2-state (stressed vs. not stressed) and 4-state (healthy, stressed, uncertain, recovery). Our results suggest promising accuracy for the prediction of water-stress conditions, offering a framework which may be applied in real-world precision agriculture to optimize strategies for water management.","","979-8-3315-1894-3","10.1109/InCoWoCo64194.2024.10863624","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10863624","Water stress;Bioristor sensor;Prediction;Classification","Precision agriculture;Accuracy;Biological system modeling;Time series analysis;Predictive models;Real-time systems;Biosensors;Forecasting;Stress;Stress measurement","","1","","22","IEEE","6 Feb 2025","14-15 Nov. 2024","14-15 Nov. 2024","IEEE","IEEE Conferences"
"Deep Learning-Based Vision System for Water Stress Classification of Lettuce in Pot Cultivation","E. J. C. Flores; J. A. Gonzaga; G. L. Augusto; J. A. T. Chua; L. A. Gan Lim","Department of Mechanical Engineering, Gokongwei College of Engineering, De La Salle University, Manila, Philippines; Department of Mechanical Engineering, Gokongwei College of Engineering, De La Salle University, Manila, Philippines; Department of Mechanical Engineering, Gokongwei College of Engineering, De La Salle University, Manila, Philippines; Department of Mechanical Engineering, Gokongwei College of Engineering, De La Salle University, Manila, Philippines; Department of Mechanical Engineering, Gokongwei College of Engineering, De La Salle University, Manila, Philippines","2023 IEEE 15th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)","15 Jul 2024","2023","","","1","6","The increase in global population has resulted in a corresponding rise in the need for food and water, highlighting the significance of optimizing the utilization of scarce agricultural resources. Water scarcity is a major issue that affects crop growth, yield, and quality. Traditional plant water stress detection methods are time-consuming, expensive, and impractical for large-scale applications. To address this, researchers are developing non-invasive vision-based techniques that detect water stress in plants accurately utilizing vision systems and deep learning. Applying vision systems and deep learning in agriculture can help improve traditional agricultural practices and advance technology in the agriculture sector. This work aimed to develop a MobileNetV2-SVM model to classify and detect the degree of water stress in lettuce. According to the findings, the model achieved an accuracy of 87.50%. Implementing the system to detect mild water stress in green ice lettuce resulted in a notable improvement in crop output and a decrease in water usage. This implies that implementing a vision-based deep learning model to detect and classify water stress in green ice lettuce has the potential to boost water productivity, achieving more yield with less water.","2770-0682","979-8-3503-8117-7","10.1109/HNICEM60674.2023.10589156","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10589156","computer vision;lettuce water stress classification;mobilenet;support vector machine","Deep learning;Productivity;Irrigation;Accuracy;Machine vision;Ice;Vectors","","2","","46","IEEE","15 Jul 2024","19-23 Nov. 2023","19-23 Nov. 2023","IEEE","IEEE Conferences"
"IoT and Machine Learning for the Forecasting of Physiological Parameters of Crop Leaves","A. Barriga; J. A. Barriga; A. Lozano-Tello; M. J. Moñino; P. J. Clemente","Quercus Software Engineering Group, Departamento de Ingeniería Sistemas Informáticos y Telemáticos, Universidad de Extremadura, Cáceres, Spain; Quercus Software Engineering Group, Departamento de Ingeniería Sistemas Informáticos y Telemáticos, Universidad de Extremadura, Cáceres, Spain; Quercus Software Engineering Group, Departamento de Ingeniería Sistemas Informáticos y Telemáticos, Universidad de Extremadura, Cáceres, Spain; Extremadura Scientific and Technological Research Centre (CICYTEX), Guadajira, Spain; Quercus Software Engineering Group, Departamento de Ingeniería Sistemas Informáticos y Telemáticos, Universidad de Extremadura, Cáceres, Spain",IEEE Access,"14 Oct 2025","2025","13","","175161","175178","In the current context of accelerating climate change, agriculture faces a pressing need for proactive solutions that can help maintain crop health and improve resource use efficiency. Physiological parameters of crop leaves, such as Leaf-Turgor Pressure ( $P_{leaf}$ ) and Leaf Temperature ( $T_{leaf}$ ), serve as valuable indicators of crop water stress and health, providing essential information for orchard management. However, although Internet of Things (IoT) systems equipped with sensors attached to crop leaves make it possible to monitor these parameters, they only provide real-time measurements, which are often insufficient to anticipate and mitigate adverse future conditions. Therefore, this study proposes a novel integration of IoT and machine learning technologies to enable the forecasting of physiological parameters of crop leaves. For this purpose, an experimental plot of Japanese plum trees has been monitored for five months using  $P_{leaf}$  and  $T_{leaf}$  sensors. Additionally, weather conditions were recorded. Using the data gathered, machine learning algorithms have been applied to train learning models for  $P_{leaf}$  and  $T_{leaf}$  forecasting. Results report Support Vector Regression as the best algorithm with R-squared values of 0.96 and 0.99 in the forecasting of  $P_{leaf}$  and  $T_{leaf}$ , respectively (one-week forecast horizon). In addition, a comprehensive digital twin software system integrating the forecasting models has been proposed. Thus, this study represents a significant breakthrough in proactive crop management, laying the groundwork for more sustainable and resilient farming practices.","2169-3536","","10.1109/ACCESS.2025.3615717","TED2021-129194B-I00 Project; MICIU/AEI/10.13039/501100011033 and European Union NextGenerationEU/PRTR; 0100_TID4AGRO_4_E Project; European Regional Development Fund (ERDF) through European Commission’s INTERREG VI-A Spain-Portugal Program (POCTEP) 2021–2027; European Union (European Regional Development Fund), co-financed at 85%, and the Regional Government of Extremadura, with the Ministry of Finance as the Managing Authority(grant numbers:GR24099); Pre-Doctoral Fellowship awarded; Government of Extremadura and co-financed; European Social Fund Plus (ESF+)(grant numbers:5939110060220230000186 (PD23034)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11184523","Digital twins;Internet of Things;leaf temperature;leaf-turgor pressure;machine learning;time series forecasting","Forecasting;Crops;Predictive models;Machine learning;Sensors;Meteorology;Digital twins;Biomedical monitoring;Machine learning algorithms;Time series analysis;Climate change;Internet of Things","","3","","67","CCBYNCND","29 Sep 2025","2025","","IEEE","IEEE Journals"
"Optimized Hybrid CNN-Random Forest Model for Thermal Imaging-Based Water Stress Detection in Large-Scale Agriculture","M. R; R. P; K. V; K. M; B. S; K. G","Department of Information Technology, Velalar College of Engineering and Technology, Erode, Tamil Nadu, India; Department of Information Technology, Velalar College of Engineering and Technology, Erode, Tamil Nadu, India; Department of Information Technology, Velalar College of Engineering and Technology, Erode, Tamil Nadu, India; Department of Information Technology, Velalar College of Engineering and Technology, Erode, Tamil Nadu, India; Department of Information Technology, Velalar College of Engineering and Technology, Erode, Tamil Nadu, India; Department of Information Technology, Velalar College of Engineering and Technology, Erode, Tamil Nadu, India",2025 Global Conference on Information Technology and Communication Networks (GITCON),"12 Feb 2026","2025","","","1","7","This study formulates and tests a thermal imaging-based method for real time crop water stress detection and classification with high-resolution thermal sensors and machine learning. Conventional irrigation practices are based on visual observation or fixed timing, which results in inefficient water use, delayed detection of stress, and lower crop yields. Current detection methods are imprecise and inflexible, and hence making real-time corrections is challenging. The solution proposed employs deep learning in the form of the ResNet-50 CNN algorithm for feature extraction and a random forest classifier for increased accuracy at 97.4% for stress classification. Measuring canopy temperature, thermal indexes, and gradients in real time provides an effective way to make irrigation decisions that reduce waste and increase production. The data approach enhances irrigation, reduces resource loss, provides nutrients optimally, and improves resilience to climate change. This study improves sustainable agriculture by integrating Artificial Intelligence with thermal imaging in a low cost and scalable solution that increase productivity and long-term food security.","","979-8-3315-3348-9","10.1109/GITCON65266.2025.11376942","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11376942","Irrigation Management;Canopy Temperature;CNN ResNet-50;Random Forest;Crop Yield","Temperature sensors;Temperature measurement;Image sensors;Irrigation;Accuracy;Feature extraction;Real-time systems;Stress;Thermal stresses;Random forests","","1","","17","IEEE","12 Feb 2026","29-31 Aug. 2025","29-31 Aug. 2025","IEEE","IEEE Conferences"
"Evaluation of Machine Learning Models for Water Stress Detection Using Stem Impedance","F. Cum; S. Calvo; A. Sanginario; U. Garlando","Department of Electronics and Telecommunications (DET), Politecnico di Torino, Torino, Italy; Department of Electronics and Telecommunications (DET), Politecnico di Torino, Torino, Italy; Department of Electronics and Telecommunications (DET), Politecnico di Torino, Torino, Italy; Department of Electronics and Telecommunications (DET), Politecnico di Torino, Torino, Italy",IEEE Transactions on AgriFood Electronics,"10 Oct 2024","2024","2","2","314","322","Food security, producing enough food for every person on the planet, is becoming a significant issue. Increasing world population and climate change are setting new challenges to food production. Water stress can cause severe damage to crops, and detecting and preventing this threat is crucial. Smart agriculture and the use of sensors directly on the field is a promising and rapidly evolving solution. Data collected by a large number of sensors must be analyzed and efficiently interpreted. In this context, machine learning is an effective solution. This article conducts a comparative analysis of several well-established machine learning models, all trained on a dataset enriched with a novel parameter for the assessment of plant health, the stem electrical impedance (modulus and phase). This feature gives promising results since it is a direct parameter of the plant itself. Moreover, the inclusion of the stem impedance parameter significantly boosted the model's performance, notably enhancing the effectiveness, particularly evident in the case of the top-performing model in this study, the random forest algorithm. When incorporating stem electrical impedance, this model achieved an impressive F1 score of 98%, markedly surpassing the 88% obtained in its absence. As a complementary analysis, a permutation feature performance analysis was conducted, highlighting the potential of stem impedance modulus as a promising feature for evaluating plant watering conditions. The removal of impedance modulus from the training model resulted in an average classification performance loss of 25% in terms of F1 score, suggesting how impedance monitoring is a promising approach for plant health management.","2771-9529","","10.1109/TAFE.2024.3457156","Agritech National Research Center and received funding from the European Union Next-GenerationEU; PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR) MISSIONE 4 COMPONENTE 2, INVESTIMENTO 1.4 D.D. 1032 17/06/2022, CN00000022; National Recovery and Resilience Plan (NRRP); Mission 4 - Component 2 - Investment 3.1 - Call for tender No. n. 3264 of 28/12/2021 of Italian Ministry of Research; European Union NextGenerationEU; Italian Ministry of Research(grant numbers:CUP: B33C22000710006); iENTRANCE; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10690239","Machine learning;plants monitoring;smart agriculture;stem impedance","Impedance;Machine learning;Data models;Support vector machines;Climate change;Plants (biology);Smart agriculture;Food security;Food products;Threat assessment","","6","","22","IEEE","24 Sep 2024","Sept.-Oct. 2024","","IEEE","IEEE Journals"
"Water Stress Detection in Pearl Millet Canopy with Selected Wavebands using UAV Based Hyperspectral Imaging and Machine Learning","A. U. G. Sankararao; P. Rajalakshmi; S. Kaliamoorthy; S. Choudhary","Department of Electrical Engineering, Indian Institute of Technology, Hyderabad, India; Department of Electrical Engineering, Indian Institute of Technology, Hyderabad, India; International Crops Research Institute for the Semi-Arid Tropics, Hyderabad, India; International Crops Research Institute for the Semi-Arid Tropics, Hyderabad, India",2022 IEEE Sensors Applications Symposium (SAS),"12 Sep 2022","2022","","","1","6","The major bottleneck in plant phenotyping is the assessment of thousands of genotypes under field conditions, which can be accelerated through Unmanned Aerial Vehicle (UAV) based sensing. Phenotyping for complex traits such as abiotic stress (drought) adaptation can be explored more precisely through the rich spectral information acquired by Hyperspectral Imaging (HSI) sensors. HSI sensors can identify plant water stress early by observing the changes in canopy reflectance due to drought. This study used a UAV-based HSI sensor in the 400-1000 nm range to identify canopy water stress in the pearl millet crop. Five Machine learning-based Feature Selection (FS) methods were used to identify the top-ranked ten wavebands sensitive to canopy water stress. Wavelengths around 692, 714-716, 763-769, 774-882, 870, and 949 nm were repeatedly selected by two or more FS methods. The Recursive feature elimination method with the Support vector machine (SVM) classifier outperformed the other FS methods in selecting the best bands subset. SVM classifier with linear kernel on the selected bands could classify two water stress levels with 95.38% accuracy and early detect stress with 80.76% accuracy in the pearl millet canopy. This study will benefit the agriculture sector by accelerating crop phenotyping using UAV-based HSI.","","978-1-6654-0981-0","10.1109/SAS54819.2022.9881337","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9881337","Band selection;Hyperspectral imaging;Machine learning;Water stress detection;Unmanned aerial vehicle","Support vector machines;Image sensors;Droughts;Crops;Autonomous aerial vehicles;Feature extraction;Sensors","","11","","25","IEEE","12 Sep 2022","1-3 Aug. 2022","1-3 Aug. 2022","IEEE","IEEE Conferences"
"Thermal Image Analysis for Precision Agriculture","A. S. Novo; O. Postolache; J. G. M. Mendes","DCTI, ISTA, Iscte-Instituto, Universitario de Lisboa, Instituto de Telecomunicacoes, Lisbon, Portugal; DCTI, ISTA, Iscte-Instituto, Universitario de Lisboa, Instituto de Telecomunicacoes, Lisbon, Portugal; Departamento de Engenharia Mecânica, FEUP - Faculdade de Engenharia da, Universidade do Porto, Porto, Portugal",2025 Third International Conference on Industry 4.0 Technology (I4Tech),"11 Dec 2025","2025","","","1","7","As global population grows, we require better management of resources, particularly an efficient water usage. This paper presents an AI solution based on deep learning for automated and non-invasive water stress detection and prediction in plants using thermal imagery. A two stage detector combining a YOLO object detector for plant location with a Convolutional Neural Network (CNN) to classify the stress level using the actual thermal values in the image and predict its stress level was implemented. These models were trained on a controlled dataset of parsley plants, with each pot on a different moisture level (""no stress"", ""medium stress"" and ""high stress""). Our system achieves a mAP50 of 99.5% for localization and the CNN had a water stress classification accuracy of up to 99.6% using transfer learning and 82.86% with the custom model. This approach proves that non-contact thermal imaging can rapidly assess plant water needs and by providing this stress-level data, it can assist farmers irrigating their crops more precisely without the need of ground sensors, saving water in the process.","","979-8-3315-2511-8","10.1109/I4Tech64670.2025.11277454","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11277454","Thermal Imaging;Plant water stress;Deep learning;Precision agriculture;Object detection;Convolutional Neural Networks;Artificial Intelligence","Precision agriculture;Rapid thermal processing;Plants (biology);Detectors;Thermal sensors;Thermal analysis;Convolutional neural networks;Stress;Thermal stresses;Water resources","","","","40","IEEE","11 Dec 2025","18-20 Sept. 2025","18-20 Sept. 2025","IEEE","IEEE Conferences"
"Utilizing Digital Technology for Accurate Water Footprint Calculation in Agricultural Products","K. Rajagopal; H. Ayyavoo; A. Selvam; M. K","Department of Information Technology, K.S.Rangasamy College of Technology, Tiruchengode, Tamil Nadu, India; Department of Information Technology, K.S.Rangasamy College of Technology, Tiruchengode, Tamil Nadu, India; Department of Information Technology, K.S.Rangasamy College of Technology, Tiruchengode, Tamil Nadu, India; K.S.Rangasamy College of Technology, Tiruchengode, Tamil Nadu, India",2025 International Conference on Frontier Technologies and Solutions (ICFTS),"20 Jun 2025","2025","","","1","7","Water scarcity is a pressing issue, particularly in agricultural sectors where over 70% of freshwater is consumed. In countries like India, where agriculture accounts for nearly 80% of water usage, efficient water management is essential to sustain food production and combat droughts. However, many consumers and farmers lack awareness of the water footprint of the products they consume or grow, leading to inefficient water use. With the use of digital technologies like blockchain, big data, and artificial intelligence (AI), this project suggests a Water Footprint Calculation Platform that calculates and offers real-time insights regarding the water footprint of various agricultural goods. By allowing users to input product names or scan labels, the platform will deliver detailed information on the water required to produce those goods. IoT sensors and weather data will be integrated to track water consumption patterns, while Blockchain will ensure the transparency and security of data. The platform's goal is to raise awareness about the water consumption of everyday products, promote sustainable farming practices, and help optimize water use in regions facing scarcity. Ultimately, this solution aims to contribute to water conservation efforts, improve agricultural water management, and support long-term water security for both India and globally.","","979-8-3315-0276-8","10.1109/ICFTS62006.2025.11031633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11031633","Water Footprint;Agricultural Water Management;Water Scarcity","Food manufacturing;Droughts;Pressing;Water conservation;Real-time systems;Blockchains;Artificial intelligence;Freshwater;Intelligent sensors;Farming","","","","15","IEEE","20 Jun 2025","27-28 March 2025","27-28 March 2025","IEEE","IEEE Conferences"
