"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Clustering-Aided Classification and Anomaly Detection of Smart Office Patterns Using Environmental Sensor Data","N. Najafiragheb; M. A. Jaziri; A. Pandurino; A. Bucciero","ISPC-CNR, Lecce, Italy; ISPC-CNR, Lecce, Italy; ISPC-CNR, Lecce, Italy; ISPC-CNR, Lecce, Italy",2025 IEEE Annual Congress on Artificial Intelligence of Things (AIoT),"9 Mar 2026","2025","","","690","694","This paper proposes a multi-stage AIoT pipeline for identifying working and non-working conditions indoors from indoor environment sensor readings. The approach combines unsupervised K-Means clustering pattern identification, supervised learning models such as XGBoost and SVM for prediction, and anomaly detection by Isolation Forest and rule-based filters. A nine-month data set captured from an office in ISPC-CNR Lecce, including temperature, humidity, sound, and light (Lux) measurements, was analyzed at six sampling rates and diverse feature configurations. Classification accuracy values higher than 99%, even without Lux, are reported; anomalies lower cluster consistency and model performance; and the presented pipeline demonstrates that clustering, classification, and anomaly detection can work together to enable robust, label-efficient, and adaptive edge environmental monitoring.","","979-8-3315-9554-8","10.1109/AIoT66900.2025.00106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11416368","AIoT;KMeans clustering;anomaly detection;smart office monitoring;supervised learning;environmental sensing","Temperature measurement;Accuracy;Image edge detection;Pipelines;Supervised learning;Forestry;Predictive models;Internet of Things;Artificial intelligence;Anomaly detection","","","","25","IEEE","9 Mar 2026","3-5 Dec. 2025","3-5 Dec. 2025","IEEE","IEEE Conferences"
"Design and Performance Evaluation of an RFID and Machine Learning-Based Intelligent Security System for Smart Buildings","Q. Li; J. Liu","College of Architectural City Planning, Chongqing Vocational College of Architecture and Technology, Chongqing, China; College of Architectural City Planning, Chongqing Vocational College of Architecture and Technology, Chongqing, China",2025 2nd International Conference on Intelligent Computing and Robotics (ICICR),"29 Sep 2025","2025","","","193","198","The development of smart buildings has created an increasing need for intelligent security systems that can detect threats with high accuracy and respond in real time. This study introduces a security framework that integrates Radio Frequency Identification (RFID) technology and machine learning to enhance anomaly detection and system efficiency. The system employs unsupervised learning models, including K-Means clustering and Isolation Forest, to process environmental sensor data and detect anomalies in building conditions. Experimental evaluations using a dataset of normal and anomalous events demonstrate the system’s effectiveness, achieving 96.4% accuracy, a false positive rate of 2.8%, and an average detection time of $\mathbf{1. 7 5}$ seconds. The integration of RFID technology with machine learning significantly improves the precision and operational speed of security systems, outperforming traditional rule-based methods. The system ensures real-time monitoring and rapid response, making it suitable for dynamic and high-security environments. These results highlight the practical applicability of the proposed framework, laying the foundation for advanced security solutions in the context of smart buildings. By leveraging cutting-edge technology, this study provides a scalable and efficient approach to addressing modern security challenges while ensuring optimal performance in threat detection and response.","","979-8-3315-4429-4","10.1109/ICICR65456.2025.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11173066","computer security;machine learning;RFID technology;smart buildings","Smart buildings;Accuracy;Machine learning;Forestry;Real-time systems;Data models;Threat assessment;Security;Unsupervised learning;Radiofrequency identification","","","","15","IEEE","29 Sep 2025","16-18 May 2025","16-18 May 2025","IEEE","IEEE Conferences"
"A comparative study of anomaly detection approaches in time-series environmental sensor data","L. -H. Phan; C. M. Hieu Nguyen","Data Governance Laboratory, Research Institute of Posts and Telecommunications Posts and Telecommunication Institute of Technology, Hanoi, Vietnam; Posts and Telecommunication Institute of Technology, Hanoi, Vietnam",2025 International Conference on Advanced Technologies for Communications (ATC),"5 Dec 2025","2025","","","1","6","Building sensor anomaly detection is crucial for operational efficiency and equipment reliability, yet standardized evaluation frameworks are lacking, leading to inconsistent method selection. This paper presents a comprehensive comparison of anomaly detection methods using a novel unsupervised evaluation framework that incorporates statistical consistency, temporal coherence, cross-method agreement, and domain logic compliance. We evaluate three paradigms—statistical (STL), machine learning (Isolation Forest), and deep learning (LSTM Autoencoder)—on real-world building sensor data spanning two years with eight sensor types. Our results show that Isolation Forest achieves the best overall performance with a total score of 0.464 and superior computational efficiency of 0.339 seconds, detecting four collective anomalies with excellent temporal coherence. Surprisingly, the LSTM Autoencoder achieves only a 0.263 total score despite 206.444 seconds training time, challenging assumptions about deep learning superiority. These findings demonstrate that well-designed traditional methods can outperform complex deep learning approaches when considering computational efficiency and practical deployment requirements, providing essential guidance for building monitoring system design.","2162-1039","979-8-3315-8698-0","10.1109/ATC67618.2025.11268742","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268742","anomaly detection;building energy;deep learning;LSTM autoencoder;outlier detection","Deep learning;Training;Buildings;Autoencoders;Forestry;Coherence;Computational efficiency;Anomaly detection;Long short term memory;System analysis and design","","","","19","IEEE","5 Dec 2025","16-18 Oct. 2025","16-18 Oct. 2025","IEEE","IEEE Conferences"
"Smart Irrigation and Anomaly Detection using Soil Moisture Sensors","M. Khan; S. Varma; J. Tiwari","Dept. of Information Technology, Shri Govindram Seksaria Institute of Technology and Science, Indore, India; Dept. of Information Technology, Shri Govindram Seksaria Institute of Technology and Science, Indore, India; Dept. of Information Technology, Shri Govindram Seksaria Institute of Technology and Science, Indore, India",2025 IEEE International Conference on Innovate for Humanitarian: Tech Solutions for Global Challenge (ICIH),"22 Jul 2026","2025","","","1","9","The agricultural domain in India is marked by an unprecedented pressure to maximize water use due to erratic rainfall, rising demands, and non-ideal irrigation systems. Herein, an intelligent irrigation system integrated with machine learning anomaly detection is proposed for automated water distribution and real-time fault identification. With automation, intelligent control, and rapid technology development, the field of agriculture has gained the services of progress. Hereof, anomaly detection in the agricultural environment and an irrigation water management system are described in detail. Five soil moisture sensors, one temperature and humidity sensor, and an Arduino Uno microcontroller mounted on a specially designed PCB (Printed Circuit Board) constitute the system. Sensors are distributed around the field, forwarding real-time soil condition data. Should soil moisture in any of the zones fall below the threshold value, the device automatically opens a solenoid valve to irrigate the dry area. This allows for highly selective resource allocation and water conservation. Besides irrigation, the system checks for anomalies such as water leaks through a machine learning model that takes sensor inputs. The input sensor data is streamed by the system and saved in CSV (Comma Separated Values) files for further analysis and visualization. For the purpose of robustness and practical applicability, the recommended system underwent evaluation through multi-sensor trials conducted over several days. Meanwhile, further research is planned to be conducted in actual field agricultural conditions. A performance comparison of different machine learning models, such as Random Forest, XGBoost and Logistic Regression, revealed that XGBoost reached 99% detection accuracy. The framework thereby showcases its scalability, cost-effectiveness, and suitability for real-time smart farming applications. It may certainly aid in labor saving, promote sustainable farming practices, and enable very efficient irrigation.","","979-8-3315-5644-0","10.1109/ICIH67754.2025.11608676","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11608676","Smart Irrigation;Soil Moisture Sensor;Relay;Solenoid Valve;Arduino Uno;Anomaly Detection;Water Leak Detection;Machine Learning","Image sensors;Irrigation;Modeling;Water;Machine learning;Soil moisture;Printing;Timing;Machining;Internet of Things","","","","25","IEEE","22 Jul 2026","21-22 Nov. 2025","21-22 Nov. 2025","IEEE","IEEE Conferences"
"Normal-Only Anomaly Detection in Environmental Sensors in CPS: A Comprehensive Review","Y. Takyiwaa Acquaah; R. Kaushik","Department of Computer Science, North Carolina Agricultural and Technical State University, Greensboro, NC, USA; Department of Computer Science, North Carolina Agricultural and Technical State University, Greensboro, NC, USA",IEEE Access,"20 Dec 2024","2024","12","","191086","191107","Anomaly detection is crucial for maintaining the reliability and security of environmental sensors in Cyber-Physical Systems (CPS). This paper presents a comprehensive review that examines the field of anomaly detection using only normal data (normal-only anomaly detection) within environmental sensor networks of CPS, covering literature from the past ten years. The study explores the methods, challenges, and progress made in this area offering exploration of methodologies, challenges, and advancements. With a focus on identifying deviations from normal behavior rather than categorizing specific anomalies, this review covers a wide range of anomaly detection techniques tailored to environmental sensor data. Furthermore, we offer perspectives on particular application fields of CPS and explore how anomaly detection techniques that depend exclusively on data from normal operations are implemented. We analyze the intricacies of applying machine learning, statistical, and data-driven approaches to unveil anomalies, while considering the unique characteristics and constraints of CPS environments. The review also delves into the challenges posed by noisy and dynamic sensor data, scalability issues, and the trade-offs between detection accuracy and resource efficiency. By synthesizing insights from diverse research endeavors, we provide a comprehensive understanding of the landscape, emerging directions, and potential applications of normal-only anomaly detection in environmental sensors within CPS. The study stands as an essential guide for academics, professionals, and interested parties aiming to bolster the resilience and safeguarding of CPS equipped with sensors.","2169-3536","","10.1109/ACCESS.2024.3513714","Office of Naval Research (ONR)(grant numbers:N00014-22-1-2724); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10786214","Cyber-physical systems;environmental sensors;data-driven approaches;machine learning;normal-only anomaly detection;sensor networks;statistical methods","Anomaly detection;Sensors;Reviews;Sensor phenomena and characterization;Data models;Sensor systems;Monitoring;Accuracy;Solid modeling;Power system reliability","","7","","136","CCBYNCND","9 Dec 2024","2024","","IEEE","IEEE Journals"
"A task of anomaly detection for a smart satellite Internet of things system","Z. Shao; X. Qu; F. Bu; Y. Hou","School of Mathematics, Hefei University of Technology, Hefei, China; School of Electrical and Automation Engineering, Hefei University of Technology, Hefei, China; CCNU Wollongong Joint Institute, Central China Normal University, Wuhan, China; College of Urban and Rural Development, Shanxi Agricultural University, China",2024 5th International Conference on Computer Engineering and Application (ICCEA),"29 Jul 2024","2024","","","165","168","When the equipment is working, real-time collection of environmental sensor data for anomaly detection is one of the key links to prevent industrial process accidents and network attacks and ensure system security. However, under the environment with specific real-time requirements, the anomaly detection for environmental sensors still faces the following difficulties: (1) The complex nonlinear correlation characteristics between environmental sensor data variables lack effective expression methods, and the distribution between the data is difficult to be captured. (2) it is difficult to ensure the real-time monitoring requirements by using complex machine learning models, and the equipment cost is too high. (3) Too little sample data leads to less labeled data in supervised learning. This paper proposes an unsupervised deep learning anomaly detection system. Based on the generative adversarial network and self-attention mechanism, considering the different feature information contained in the local subsequences, it automatically learns the complex linear and nonlinear dependencies between environmental sensor variables, and uses the anomaly score calculation method combining reconstruction error and discrimination error. It can monitor the abnormal points of real sensor data with high real-time performance and can run on the intelligent satellite Internet of things system, which is suitable for the real working environment. Anomaly detection outperforms baseline methods in most cases and has good interpretability, which can be used to prevent industrial accidents and cyber-attacks for monitoring environmental sensors.","2159-1288","979-8-3503-8677-6","10.1109/ICCEA62105.2024.10604205","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10604205","Generative Adversarial Network;Self-Attention;Anomaly detection;Deep Learning;Internet of Things","Satellites;Supervised learning;Generative adversarial networks;Real-time systems;Internet of Things;Security;Industrial accidents","","","","14","IEEE","29 Jul 2024","12-14 April 2024","12-14 April 2024","IEEE","IEEE Conferences"
"Physics-Based Synthetic Data and On-Device SLM Reasoning for Automated IoT Sensor Fault Detection in Offline Edge Environments","S. Marri; A. Sangwan","Department of Computer Science, SUNY Polytechnic Institute, Utica, NY, USA; SUNY Polytechnic Institute, Utica, NY, SUNY Polytechnic Institute, Utica, NY, USA","2026 International Conference on Smart Applications, Communications and Networking (SmartNets)","17 Jul 2026","2026","","","1","4","Internet of Things (IoT) deployments on rural farms, in off-grid installations, and at remote monitoring stations face a critical challenge: sensor faults often go undetected due to a lack of technical expertise and cloud connectivity. This paper presents a fully offline, edge-deployable framework that (i) generates physics-based synthetic sensor data to model normal operation and three fault modes: out-of-range readings, sensor drift, and missing data; (ii) trains four lightweight machine learning (ML) classifiers (Random Forest, XGBoost, AdaBoost, and a compact multilayer perceptron) on this synthetic data and exports them via the Open Neural Network Exchange (ONNX) format; (iii) benchmarks inference on Raspberry Pi 5 and NVIDIA Jetson AGX; and (iv) integrates an offline small language model (SLM) running locally via Ollama to translate fault classifications into plain-language diagnostics that non-technical users can act upon. Experimental results demonstrate that all models achieve four-class fault detection accuracy exceeding 99%, with the MLP achieving the highest accuracy of 99.1%. The complete system, from ESP32 sensor nodes to LLM-generated reports, operates without internet access, making intelligent IoT fault management accessible to communities that need it most.","2837-4940","979-8-3315-6420-9","10.1109/SmartNets69662.2026.11604705","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11604705","","Modeling;Image sensors;Internet of Things;Large language models;Printing;Training;Accuracy;Physics;Sensors","","","","15","IEEE","17 Jul 2026","7-9 July 2026","7-9 July 2026","IEEE","IEEE Conferences"
"Research on Anomaly Detection Model for Intelligent Sensor Networks Based on Generative Large Models","G. Duan","School of Intelligent Science and Engineering, Chengdu Neusoft University, Chengdu, China","2026 IEEE 6th International Conference on Electronic Technology, Communication and Information (ICETCI)","22 Jul 2026","2026","","","1024","1029","This paper proposes a spatiotemporally coupled generative pre-trained anomaly detection algorithm, STCGPAD. The algorithm uses a lightweight generative large model as its backbone and designs a spatiotemporally coupled multihead attention mechanism to achieve joint modeling of the spatial topology and temporal series dependencies of sensor data. Unsupervised anomaly discrimination is achieved through a generative reconstruction module constrained by normal samples. A dynamic pruning quantization strategy is introduced to optimize edge node adaptation. Experiments were conducted based on the publicly available Intel Lab sensor dataset and the experimental dataset of a self-developed indoor environmental sensor network. The results show that STC-GPAD achieves an F1 score of 98.72 % on the standard dataset, a 4.15 percentage point improvement over the second-best VAE-Transformer baseline model. Even in zero-shot anomaly scenarios, the F1 score remains at 95.38 %, demonstrating significantly better generalization performance than the comparison model. After lightweight optimization, the model's parameter count is only 32.6 % of the baseline model with the same accuracy, and the single-node inference latency is reduced by 58.2 %. It exhibits excellent performance in multi-type anomaly recognition and under various noise environments, effectively meeting the realtime anomaly detection requirements of intelligent sensor networks and providing technical support for the application of generative large models in sensor network anomaly detection.","","979-8-3315-5907-6","10.1109/ICETCI68937.2026.11610697","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11610697","Generative large model;intelligent sensor network;anomaly detection;spatiotemporal sequence modeling;unsupervised learning;edge lightweighting","Modeling;Equations;Quantization (signal);Image sensors;Anomaly detection;Timing;Modules (abstract algebra);Algorithms;Joining processes;Signal detection","","","","13","IEEE","22 Jul 2026","29-31 May 2026","29-31 May 2026","IEEE","IEEE Conferences"
"Intrusion Detection and Mitigation System for Smart Inverters Based on Machine Learning and Environmental Sensors","Z. Zhang; S. Rahman","Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Arlington, VA, USA; Department of Electrical and Computer Engineering, Virginia Polytechnic Institute and State University, Arlington, VA, USA",Journal of Modern Power Systems and Clean Energy,"30 Jul 2026","2026","14","4","1527","1537","The rapid expansion of renewable energy deployment has accelerated the adoption of smart inverters in solar farms. However, their reliance on communication networks introduces cybersecurity vulnerabilities that make inverter measurements susceptible to manipulation. This paper presents an intrusion detection and mitigation system (IDMS) for smart inverters, which leverages machine learning algorithms and environmental sensor data to enhance data integrity and operational resilience. The proposed IDMS integrates the machine learning algorithms to combine a detection system with a mitigation system. The detection system integrates environmental sensor inputs with inverter measurements to accurately identify normal operating behavior and anomalous conditions in real time. To address the cumulative error challenges that arise during attacks, a prediction model based on long short-term memory (LSTM) and trained solely on environmental features is introduced in the mitigation system to reconstruct compromised voltage and current data, thereby preventing recursive cumulative error propagation and ensuring stable system operation. Case studies demonstrate that the proposed IDMS can promptly detect cyberattacks, replace compromised measurements with reliable estimates, and restore normal operation once attacks cease. Additional evaluations across varying data availability conditions in an open dataset confirm the robustness and scalability of the proposed IDMS, making it practical for diverse solar farm deployment environments.","2196-5420","","10.35833/MPCE.2025.000713","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11357489","Artificial intelligence;solar farm;intrusion detection and mitigation system (IDMS);environmental sensor;smart inverter;cybersecurity;machine learning","Inverters;Prevention and mitigation;Intelligent sensors;Solar farms;Transformers;Real-time systems;Long short term memory;Servers;Intrusion detection;Current measurement","","","","38","","16 Jan 2026","July 2026","","SGEPRI","SGEPRI Journals"
"Anomaly Detection From Low-Dimensional Latent Manifolds With Home Environmental Sensors","F. M. Melgarejo-Meseguer; A. Lorenzo-Bleda; S. Eduardo-Abbenante; F. -J. Gimeno-Blanes; E. Everss-Villalba; S. Muñoz-Romero; J. -L. Rojo-Álvarez; R. M. Ferriz","Department of Signal Theory and Communications and Telematic Systems and Computing, Universidad Rey Juan Carlos, Madrid, Spain; Department of Electronics and Home Automation, Centro Tecnológico del Mueble Y la Madera, Murcia, Spain; Department of Electronics and Home Automation, Centro Tecnológico del Mueble Y la Madera, Murcia, Spain; Department of Communications Engineering, Universidad Miguel Hernández de Elche, Elche, Spain; Department of Communications Engineering, Universidad Miguel Hernández de Elche, Elche, Spain; Department of Signal Theory and Communications and Telematic Systems and Computing, Universidad Rey Juan Carlos, Madrid, Spain; Department of Signal Theory and Communications and Telematic Systems and Computing, Universidad Rey Juan Carlos, Madrid, Spain; Department of Electronics and Home Automation, Centro Tecnológico del Mueble Y la Madera, Murcia, Spain",IEEE Internet of Things Journal,"9 Apr 2024","2024","11","8","13411","13423","Human activity recognition poses a significant challenge within active and assisted living (AAL) systems, relying extensively on ubiquitous environmental sensor-based acquisition devices to detect user situations in their daily living. Environmental measurement systems deployed indoors yield multiparametric data in heterogeneous formats, which presents a challenge for developing machine learning-based AAL models. We hypothesized that anomaly detection algorithms could be effectively employed to create data-driven models for monitoring home environments and that the complex multiparametric indoor measurements can often be represented by a relatively small number of latent variables generated through manifold learning (MnL) techniques. We examined both linear (principal component analysis) and nonlinear (autoencoders) techniques for generating these latent spaces and the utility of core domain detection techniques for identifying anomalies within the resulting low-dimensional manifolds. We benchmarked this approach using three publicly available data sets (hh105, Aruba, and Tulum) and one proprietary data set (Elioth) for home environmental monitoring. Our results demonstrated the following key findings: 1) nonlinear manifold estimation techniques offer significant advantages in retrieving latent variables when compared to linear techniques; 2) the quality of the reconstruction of the original multidimensional recordings serves as an acceptable indicator of the quality of the generated latent spaces; 3) domain detection identifies regions of normality consistent with typical individual activities in these spaces; and 4) the system effectively detects deviations from typical activity patterns and labels anomalies. This study lays the groundwork for further exploration of enhanced methods for extracting information from MnL data models and their application within the AAL and possibly other sectors.","2327-4662","","10.1109/JIOT.2023.3338697","Research Projects BigTheory(grant numbers:PID2019-104356RB-C41); HESTIA(grant numbers:2022-REGING-92049); meHEART(grant numbers:PID2019-104356RB-C42); IntrinsiC from Spanish Government(grant numbers:PID2022-140786NB-C31); Autonomous Community of Madrid (ELLIS Unit Madrid); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10339664","Active and assisted living (AAL);anomaly detection;autoencoders (AEs);deep learning (DL);human activity recognition (HAR);latent spaces;sensors","Sensors;Temperature sensors;Human activity recognition;Monitoring;Anomaly detection;Temperature measurement;Temperature distribution","","7","","38","IEEE","4 Dec 2023","15 April15, 2024","","IEEE","IEEE Journals"
