id,titulo,autores,anio,doi,url,base,eje,tipo_publicacion,incluido,motivo_exclusion,duplicado_de,referencia_seminal
C0001,A review on machine learning models for drought monitoring and forecasting,Ahmedbahaaaldin Ibrahem Ahmed Osman; Nouar AlDahoul; Kai Lun Chong; Yuk Feng Huang; Jing Lin Ng; Ahmed Elshafie; Mohsen Sherif; Ali Najah Ahmed,2025,10.1016/j.crm.2025.100758,https://doi.org/10.1016/j.crm.2025.100758,scopus,1,artículo de revista,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0002,A systematic review on the application of UAV-based thermal remote sensing for assessing and monitoring crop water status in crop farming systems,Helen S. Ndlovu; John Odindi; Mbulisi Sibanda; Onisimo Mutanga,2024,10.1080/01431161.2024.2368933,https://doi.org/10.1080/01431161.2024.2368933,scopus,1,artículo de revista,no,no satisface los terminos documentados del eje en titulo/resumen (posible desvio de la ejecucion real respecto del protocolo),,
C0003,Application of machine learning approaches in supporting irrigation decision making: A review,Lisa Umutoni; Vidya Samadi,2024,10.1016/j.agwat.2024.108710,https://doi.org/10.1016/j.agwat.2024.108710,scopus,1,artículo de revista,si,,,
C0004,Assessment for crop water stress with infrared thermal imagery in precision agriculture: A review and future prospects for deep learning applications,Zheng Zhou; Yaqoob Majeed; Geraldine Diverres Naranjo; Elena M.T. Gambacorta,2021,10.1016/j.compag.2021.106019,https://doi.org/10.1016/j.compag.2021.106019,scopus,1,artículo de revista,si,,,
C0005,Classification and Forecasting of Water Stress in Tomato Plants Using Bioristor Data,M. Bettelli; F. Vurro; R. Pecori; M. Janni; N. Coppedè; A. Zappettini; D. Tessera,2023,10.1109/access.2023.3265597,https://doi.org/10.1109/access.2023.3265597,ieee,1,artículo de revista,si,,,
C0006,Deep Learning-Based Vision System for Water Stress Classification of Lettuce in Pot Cultivation,E. J. C. Flores; J. A. Gonzaga; G. L. Augusto; J. A. T. Chua; L. A. Gan Lim,2023,10.1109/hnicem60674.2023.10589156,https://doi.org/10.1109/hnicem60674.2023.10589156,ieee,1,congreso,si,,,
C0007,Deep Learning Models for Predictive Crop Water Stress Management using Real-Time Environmental Data,T. Illakiya; R. Navyashree; A. Aleeswari; G. BhupalRaj; P. Balaji; B. Muni,2025,10.1109/iceamst67459.2025.11335817,https://doi.org/10.1109/iceamst67459.2025.11335817,ieee,1,congreso,si,,,
C0008,"Detection and Mapping of Agricultural Water Stress Using Remote Sensing and Machine Learning: A Case Study of the Ourika Basin, Morocco",I. Ghallabi; A. Aqqal; M. Bardaoui; R. Gourram,2026,10.1109/isivc69944.2026.11574293,https://doi.org/10.1109/isivc69944.2026.11574293,ieee,1,congreso,si,,,
C0009,Evaluation of Machine Learning Models for Water Stress Detection Using Stem Impedance,F. Cum; S. Calvo; A. Sanginario; U. Garlando,2024,10.1109/tafe.2024.3457156,https://doi.org/10.1109/tafe.2024.3457156,ieee,1,artículo de revista,si,,,
C0010,Integrating UAV-based multispectral and thermal infrared imageries with machine learning for predicting water stress in winter wheat,Santosh S. Mali; Michael Scobie; Justine Baillie; Corey Plant; Sayma Shammi; Anup Das,2025,10.1007/s11119-025-10239-z,https://doi.org/10.1007/s11119-025-10239-z,scopus,1,artículo de revista,si,,,
